IRIS ID;Pot ID;vegetation;zone;plant_species;areareduced_new;mean;se;sd;se2;% change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB;;mean;mean2;Spalte9;areareduced_4;areareduced_3;areareduced_2;bottom5;mean3;std_soil_new;Spalte1;Spalte2;areareduced_new
41a;t9;veg;high-marsh;elymus athericus;0.009220016;;;;;19.10268503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.027605956;;;;;;0.016944114;0.26449569;0.159389132;0.300444988;0.140719902;0.844539311;0.039864073;;0.117487239
41b;t9;veg;high-marsh;elymus athericus;0.002687001;;;;;-65.28975288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.007134768;0.031227121;;0.099394335;;;0.004048583;0.316884661;0.208101078;0.348814439;0.160466622;1.339890598;;;0.245349375
42a;t2;veg;high-marsh;elymus athericus;0.000743716;;;;;-90.39279623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000108648;;;;;;7.24E-05;0.617150721;0.231832631;0.629225521;0.308611574;5.056142847;;;0.013580972
42b;t2;veg;high-marsh;elymus athericus;0.006056075;;;;;-21.76859636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.002234387;0.025147223;;0.009792837;;;0.001263377;0.723880066;0.109053055;0.663532251;0.362571721;6.409746293;;;0.02324734
43a;t20;veg;high-marsh;elymus athericus;0.008472719;;;;;9.449222473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.003070512;;;;;;0.001306715;0.224958354;0.044580355;0.076891936;0.113132535;-0.888123049;;;0.047572079
43b;t20;veg;high-marsh;elymus athericus;0.015183246;;;;;96.13473188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.013815057;;0.041657576;;;0;0.179329326;0.148825839;0.238219302;0.089664663;-1.195788462;;;0.115987714
44a;t5;veg;high-marsh;elymus athericus;0.001536323;;;;;-80.15402637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.026665167;;;;;;0.01563299;0.180131483;0.088250347;0.08906943;0.097882236;-1.088055516;;;0.041777642
44b;t5;veg;high-marsh;elymus athericus;0.007088095;;;;;-8.437127849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001327874;0.030240331;;0.019652959;;;0.00221027;0.147389006;0.034181765;0.174743877;0.074799638;-1.390669961;;;0.008841152
45a;t11;veg;high-marsh;elymus athericus;0;;;;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001126761;;;;;;0.000749681;0.101156708;0.040228605;0.174259724;0.050953195;-1.703298466;;;0.017161271
45b;t11;veg;high-marsh;elymus athericus;0.000149959;;;;;-98.06285374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000112461;0.017316569;;0.03787276;;;7.50E-05;0.264864865;0.173893773;0.246983969;0.132469917;-0.634608643;;;0.133090548
41a;t9;veg;high-marsh;elymus athericus;0;;;;;-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.008435583;;;;;;0.007025422;0.053930598;0.002374592;0.056864362;0.03047801;-1.971729547;;;0.000147373
41b;t9;veg;high-marsh;elymus athericus;0.00255102;;;;;-67.04633359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000111483;0.031163457;;0.002283227;;;7.43E-05;0.287874361;0.097002283;0.235310843;0.143974339;-0.48378488;;;0.000438468
42a;t2;veg;high-marsh;elymus athericus;0.092425718;;;;;1093.940572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.009680226;;;;;;0.008853349;0.072242513;0.047887792;0.215556589;0.040547931;-1.839712191;;;0.054537051
42b;t2;veg;high-marsh;elymus athericus;0.016822638;;;;;117.3121343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.068357747;0.039821741;;0.035131681;;;0.045258621;0.13155588;0.048457475;0.26636085;0.08840725;-1.212273233;;;0.007951701
43a;t20;veg;high-marsh;elymus athericus;0.014575625;;;;;88.28558144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.018909008;;;;;;0.013269361;0.259897736;0.011821204;0.245548445;0.136583548;2.015593245;;;0.000365364
43b;t20;veg;high-marsh;elymus athericus;0.012985521;;;;;67.7448735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00232816;0.027216298;;0.005549354;;;0.001399838;0.272369203;0.068604738;0.276068609;0.136884521;2.023912504;;;0.000594884
44a;t5;veg;high-marsh;elymus athericus;0.005221062;;;;;-32.55516011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;0.114860385;0.070546476;0.136517727;0.057430192;-0.172301577;;;0.035237587
44b;t5;veg;high-marsh;elymus athericus;0.094889635;;;;;1125.769056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.022601424;0.049721471;;0.028455929;;;0.01296692;0.117693923;0.076670889;0.097761558;0.065330421;0.04607034;;;0.055984704
