SlideNumber;MeanROI1;MeanROI2;MeanROI3;MeanROI4;MeanROI5;StDevROI1;StDevROI2;StDevROI3;StDevROI4;StDevROI5;ValidPixelROI1;ValidPixelROI2;ValidPixelROI3;ValidPixelROI4;ValidPixelROI5
206;-0.0449000;-0.106200;-0.181900;0.0562000;-0.242600;123249;123775;1.20697;1.20482;1.19547;7754;7872;6558;3918;6931
207;-0.0471000;-0.147900;-0.158600;0.0549000;-0.221900;125628;117718;1.26379;1.22923;1.21799;7754;7875;6558;3918;6931
208;-0.0447000;-0.109000;-0.186300;0.129300;-0.276700;122794;122669;1.23883;1.22568;1.1695;7754;7877;6558;3918;6931
209;-0.0159000;-0.0978000;-0.224000;0.0271000;-0.267400;125480;122040;1.20377;1.20928;1.17383;7754;7875;6558;3918;6931
210;-0.0850000;-0.142000;-0.208600;0.123800;-0.251100;124919;120660;1.22661;1.22593;1.18386;7754;7875;6558;3918;6931
211;-0.100300;-0.176300;-0.246700;-0.0309000;-0.199100;125198;121504;1.23196;1.20315;1.19776;7754;7874;6558;3918;6931
212;-0.0284000;-0.0991000;-0.157000;0.0799000;-0.243200;127812;126326;1.251;1.2375;1.2077;7754;7874;6558;3918;6931
213;0.0222000;-0.0877000;-0.178200;0.113600;-0.274700;125502;122855;1.22151;1.2;1.21359;7754;7874;6558;3918;6931
214;-0.0350000;-0.0941000;-0.137000;0.0273000;-0.213700;127020;121074;1.24371;1.18237;1.20216;7754;7873;6558;3918;6931
215;-0.0929000;-0.119100;-0.207800;0.0435000;-0.262000;121961;122488;1.25349;1.2265;1.20739;7754;7875;6558;3918;6931
216;-0.0858000;-0.106800;-0.184800;0.0956000;-0.273300;123694;123771;1.22498;1.2441;1.20015;7754;7874;6558;3918;6931
217;-0.0235000;-0.123500;-0.152200;0.115700;-0.245500;124702;120833;1.2278;1.22274;1.19672;7754;7876;6558;3918;6930
218;-0.00910000;-0.104700;-0.173900;0.0727000;-0.283100;127247;124199;1.23343;1.23034;1.16393;7754;7877;6558;3918;6931
219;-0.0324000;-0.111600;-0.117200;0.0712000;-0.219300;126446;122076;1.24631;1.19573;1.18671;7754;7874;6558;3918;6931
220;-0.0432000;-0.120400;-0.239000;0.0163000;-0.258800;124338;121750;1.21768;1.19397;1.17133;7754;7876;6558;3918;6931
221;-0.0878000;-0.0801000;-0.178100;0.160400;-0.233800;126421;121384;1.23805;1.24983;1.1851;7754;7874;6558;3918;6931
222;-0.0891000;-0.131200;-0.194800;0.0710000;-0.234900;124360;122402;1.19763;1.19282;1.21839;7754;7874;6558;3918;6931
223;-0.0763000;-0.149800;-0.181800;0.101300;-0.285300;125704;121049;1.22538;1.22885;1.18252;7754;7873;6558;3918;6931
224;-0.0800000;-0.111100;-0.212600;0.0524000;-0.194100;126633;126814;1.24393;1.21374;1.23657;7754;7875;6558;3918;6931
225;-0.0703000;-0.136800;-0.143000;0.0780000;-0.257400;123101;122778;1.29074;1.2562;1.18786;7754;7875;6558;3918;6931
226;-0.0625000;-0.124600;-0.173800;0.0529000;-0.275500;128089;121885;1.25257;1.23836;1.22892;7754;7875;6558;3918;6931
227;-0.0776000;-0.105000;-0.162400;0.116800;-0.314100;122406;124595;1.23601;1.23762;1.19302;7754;7875;6558;3918;6931
228;-0.0776000;-0.116300;-0.226000;0.0193000;-0.244400;125561;125241;1.20296;1.21865;1.18066;7754;7874;6558;3918;6931
229;-0.0697000;-0.155800;-0.224400;0.0684000;-0.246500;123005;120301;1.2203;1.20042;1.17586;7754;7877;6558;3918;6931
230;-0.0747000;-0.150900;-0.236700;0.0664000;-0.237600;123278;124305;1.22004;1.1903;1.20297;7754;7877;6558;3918;6931
231;-0.0274000;-0.0718000;-0.145200;0.100800;-0.292700;125216;122900;1.26507;1.1965;1.19688;7754;7875;6558;3918;6931
232;-0.0965000;-0.0980000;-0.212100;0.0431000;-0.265200;126198;121783;1.22924;1.27707;1.17471;7754;7873;6558;3918;6931
233;-0.120400;-0.118300;-0.165300;0.0326000;-0.279500;127082;118720;1.20916;1.24244;1.1767;7754;7875;6558;3918;6931
234;-0.0517000;-0.135400;-0.231800;0.0932000;-0.290100;123781;121520;1.2257;1.21516;1.19897;7754;7876;6558;3918;6931
235;-0.0703000;-0.0788000;-0.155700;0.0291000;-0.292400;128304;124055;1.21415;1.20965;1.20035;7754;7876;6558;3918;6931
236;-0.105400;-0.135200;-0.165100;0.133400;-0.290100;128426;121877;1.21754;1.24605;1.20085;7754;7876;6558;3918;6931
237;-0.107300;-0.0624000;-0.191900;0.0583000;-0.238000;126918;123500;1.26695;1.24628;1.18758;7754;7874;6558;3918;6931
238;-0.0982000;-0.109800;-0.212100;0.0243000;-0.251200;124085;120593;1.22833;1.23222;1.14778;7754;7876;6558;3918;6931
239;-0.0557000;-0.110000;-0.197900;0.0878000;-0.297300;127072;122961;1.23424;1.23293;1.1954;7754;7877;6558;3918;6931
240;-0.0648000;-0.117100;-0.164500;0.00820000;-0.312900;126101;123048;1.26467;1.20849;1.20125;7754;7875;6558;3918;6931
