SlideNumber;MeanROI1;MeanROI2;MeanROI3;MeanROI4;MeanROI5;StDevROI1;StDevROI2;StDevROI3;StDevROI4;StDevROI5;ValidPixelROI1;ValidPixelROI2;ValidPixelROI3;ValidPixelROI4;ValidPixelROI5
49;8.48510;10.1036;16.6275;18.5398;16.9525;342989;287618;4.04087;3.70862;3.51267;7754;7877;6558;3918;6931
50;8.33720;9.92740;16.5100;18.1821;16.8278;338616;282785;4.08796;3.70111;3.51249;7754;7877;6558;3918;6931
51;8.14930;9.71840;16.2797;18.0982;16.6604;337295;280800;3.94235;3.89241;3.45649;7754;7877;6558;3918;6931
52;7.97820;9.68880;16.1476;17.9173;16.3984;343381;281803;3.88212;3.61552;3.48891;7754;7877;6558;3918;6931
53;7.73580;9.64070;15.9551;17.5891;16.1815;328409;274054;3.91562;3.60451;3.47601;7754;7877;6558;3918;6931
54;7.52720;9.34920;15.6665;17.4754;16.0261;319099;274970;3.9425;3.58809;3.40115;7754;7877;6558;3918;6931
55;7.38580;9.27200;15.4300;17.1855;15.7770;317318;274957;3.8256;3.53123;3.33901;7754;7877;6558;3918;6931
56;7.20900;9.14640;15.2422;17.0786;15.5410;323281;277823;3.82438;3.38607;3.37835;7754;7877;6558;3918;6931
57;7.01930;8.97240;15.0807;16.6726;15.3104;309345;267801;3.84118;3.3953;3.29133;7754;7877;6558;3918;6931
58;6.83120;8.70830;14.8551;16.4197;15.0750;316768;270520;3.8255;3.43715;3.30099;7754;7877;6558;3918;6931
59;6.51910;8.55340;14.5214;16.1981;14.8571;303185;264026;3.59573;3.30591;3.12538;7754;7877;6558;3918;6931
60;6.42230;8.37720;14.4656;16.1716;14.6720;306081;260531;3.68193;3.45241;3.18848;7754;7877;6558;3918;6931
61;6.24970;8.20140;14.0891;15.9222;14.4730;300950;254281;3.71519;3.24843;3.19501;7754;7877;6558;3918;6931
62;6.00460;8.03660;13.8438;15.5689;14.1818;288350;260395;3.66122;3.35573;3.30179;7754;7877;6558;3918;6931
63;5.80210;7.83960;13.5548;15.3031;13.9227;286769;260857;3.55768;3.16811;3.2319;7754;7877;6558;3918;6931
64;5.59300;7.58460;13.3960;15.0283;13.5565;285935;252326;3.58943;3.24305;3.07204;7754;7877;6558;3918;6931
65;5.39820;7.44540;12.9992;14.7127;13.2260;273420;242507;3.60988;3.0531;2.97365;7754;7877;6558;3918;6931
66;5.18280;7.20890;12.7698;14.5195;12.8869;274273;250181;3.43607;3.11322;3.10101;7754;7877;6558;3918;6931
67;4.99610;7.02160;12.5878;14.4239;12.6161;263715;246011;3.44641;2.9119;3.01012;7754;7877;6558;3918;6931
68;4.71790;6.77420;12.1378;13.9884;12.3309;266757;234089;3.3149;2.99339;3.01899;7754;7877;6558;3918;6931
69;4.52160;6.54320;11.9672;13.6888;12.0201;260470;241885;3.34702;2.9172;2.94934;7754;7877;6558;3918;6931
70;4.32560;6.31840;11.6974;13.3361;11.6500;253864;230739;3.22548;2.85727;2.92373;7754;7877;6558;3918;6931
71;4.17900;6.14260;11.3770;13.3859;11.3814;247524;257008;3.30342;2.96696;2.92246;7754;7877;6558;3918;6931
72;3.94110;5.80010;10.9550;12.9169;10.9796;238790;240756;3.20547;2.77479;2.94058;7754;7877;6558;3918;6931
73;3.69800;5.58910;10.7865;12.4959;10.7096;237818;234568;3.29104;2.77879;2.93548;7754;7877;6558;3918;6931
74;3.51560;5.41980;10.3458;12.3448;10.2574;228895;240521;3.24007;2.74139;2.92533;7754;7877;6558;3918;6931
75;3.25880;5.12060;10.0096;11.9138;9.84690;220144;236946;3.1447;2.72696;2.83022;7754;7877;6558;3918;6931
76;3.07560;4.78000;9.58350;11.7100;9.68640;217027;231140;3.09829;2.60653;2.81739;7754;7877;6558;3918;6931
77;2.91310;4.56450;9.29290;11.3932;9.30360;209100;230215;2.95749;2.5105;2.82602;7754;7877;6558;3918;6931
78;2.61690;4.33830;8.96140;10.9283;8.87310;205088;231149;3.05081;2.52705;2.7629;7754;7877;6558;3918;6931
79;2.52410;4.08910;8.63480;10.8240;8.49070;197038;226215;3.09564;2.56762;2.73938;7754;7877;6558;3918;6931
80;2.29680;3.86540;8.32190;10.5705;8.20460;190563;231853;2.99357;2.48745;2.76543;7754;7877;6558;3918;6931
81;2.21860;3.62010;7.86060;10.2003;7.73860;193648;232023;2.91149;2.44568;2.71594;7754;7877;6558;3918;6931
82;1.95820;3.31270;7.53650;9.79840;7.39920;177949;220790;2.93401;2.3832;2.63318;7754;7877;6558;3918;6931
83;1.86450;3.12360;7.28480;9.55310;7.07270;174297;231172;2.90264;2.45858;2.51501;7754;7877;6558;3918;6931
84;1.74110;2.80340;6.94790;9.27960;6.58070;171133;221601;2.88507;2.38402;2.60497;7754;7877;6558;3918;6931
85;1.65010;2.58770;6.59380;8.93320;6.14660;170030;220234;2.83905;2.37534;2.49704;7754;7877;6558;3918;6931
86;1.47720;2.35200;6.19320;8.78200;5.79940;160380;218895;2.75426;2.37585;2.48225;7754;7877;6558;3918;6931
87;1.38580;2.16380;5.94850;8.38230;5.35140;155105;218908;2.66317;2.17914;2.4215;7754;7877;6558;3918;6931
88;1.20250;1.93550;5.58450;8.05960;4.93830;149891;211007;2.65876;2.18916;2.48081;7754;7876;6558;3918;6931
89;1.10750;1.77670;5.33350;7.84190;4.52550;141468;204107;2.58575;2.19668;2.39007;7754;7877;6558;3918;6931
90;0.973300;1.53780;5.09040;7.40530;4.05950;144368;202937;2.47011;2.13263;2.4325;7754;7877;6558;3918;6931
91;0.923300;1.45980;4.79590;7.20440;3.74280;141303;198883;2.45729;2.14783;2.40699;7754;7877;6558;3918;6931
92;0.808800;1.24660;4.52570;6.92870;3.24400;140616;194265;2.4106;2.03601;2.37663;7754;7875;6558;3918;6931
93;0.736000;1.12830;4.14210;6.64450;2.95400;137059;189529;2.34418;2.02805;2.2787;7754;7877;6558;3918;6931
94;0.661000;1.02210;3.79660;6.29660;2.56680;138965;187867;2.25483;2.01424;2.21837;7754;7875;6558;3918;6931
95;0.597000;0.900000;3.58970;5.89550;2.25520;133474;179171;2.28257;1.97589;2.17846;7754;7875;6558;3918;6931
96;0.551100;0.861100;3.33800;5.72870;2.00300;131618;178493;2.26165;1.94441;2.08323;7754;7877;6558;3918;6931
97;0.401700;0.726500;3.02320;5.58420;1.63120;131992;170635;2.19122;1.87141;1.97163;7754;7876;6558;3918;6931
98;0.428100;0.642900;2.77710;5.20830;1.44050;131686;171849;2.09194;1.8736;1.88277;7754;7876;6558;3918;6931
99;0.384300;0.577300;2.37370;4.88630;1.16520;133042;170294;2.08283;1.81822;1.79323;7754;7875;6558;3918;6931
100;0.311100;0.550500;2.15820;4.80400;1.02840;126485;161075;2.03317;1.77901;1.71847;7754;7875;6558;3918;6931
101;0.275800;0.459900;1.91010;4.58520;0.846500;128956;162896;1.93906;1.81056;1.60719;7754;7877;6558;3918;6931
102;0.222000;0.413000;1.58600;4.17470;0.682900;129018;155020;1.88328;1.71754;1.54043;7754;7877;6558;3918;6931
103;0.240100;0.361200;1.38230;4.04420;0.443000;129905;158775;1.81831;1.66325;1.41006;7754;7876;6558;3918;6931
104;0.189400;0.359200;1.12910;3.72920;0.285500;128242;151438;1.75037;1.73073;1.38325;7754;7875;6558;3918;6931
105;0.168900;0.301400;0.967200;3.50030;0.137600;128085;152742;1.68405;1.71711;1.30777;7754;7877;6558;3918;6931
106;0.187300;0.193100;0.731200;3.27480;-0.00200000;129716;145147;1.61527;1.64261;1.27952;7754;7876;6558;3918;6931
107;0.136700;0.201900;0.604000;2.98430;-0.0515000;125726;144685;1.48402;1.5682;1.24529;7754;7877;6558;3918;6931
108;0.122400;0.227900;0.460800;2.81630;-0.170300;126058;141542;1.42145;1.63422;1.19749;7754;7875;6558;3918;6931
109;0.0978000;0.179700;0.314600;2.51480;-0.196800;125982;135616;1.39034;1.56858;1.23388;7754;7873;6558;3918;6931
110;0.0713000;0.189700;0.165800;2.29430;-0.234200;127989;140948;1.34734;1.64059;1.17809;7754;7876;6558;3918;6931
